grid_point, analysis_value, analysis_increment
[0, 0],5321.359231031823,3.175816817710256
[0, 1],5347.081678978783,12.143168976620473
[0, 2],5372.244590459767,19.213104810301047
[0, 3],5392.690107812522,17.646630336782437
[0, 4],5422.709375293834,25.431724011079496
[0, 5],5449.51267251535,32.51373117285675
[0, 6],5473.258666526098,38.50205531375468
[0, 7],5490.101417048668,40.155622599187154
[0, 8],5501.198369113357,39.82458838207367
[0, 9],5509.740919614559,39.53079496343071
[0, 10],5516.565414941922,37.27248847080773
[0, 11],5530.243225599859,39.849871310310846
[0, 12],5551.751486547459,47.75546816883525
[0, 13],5576.635298902037,55.67176374149585
[0, 14],5602.349308020243,61.28069175822384
[0, 15],5627.985896821595,67.24932724949213
[0, 16],5647.0689081392875,69.67283277755269
[0, 17],5661.18987498394,68.23503849639746
[0, 18],5674.373874621658,65.09603290381892
[0, 19],5681.628315680379,58.24308639577066
[0, 20],5683.379000450688,51.27794363947396
[0, 21],5679.7298746322485,43.37170407621397
[1, 0],5298.0844402549355,-6.884462244047427
[1, 1],5324.823129103867,2.1799560076569833
[1, 2],5341.554391549751,1.1923410343206342
[1, 3],5362.380289995077,1.0897190199575562
[1, 4],5391.795892005841,8.056836744322936
[1, 5],5419.741583941759,14.733918312852438
[1, 6],5445.608985460906,20.941307758259427
[1, 7],5465.015345871523,23.040559902846326
[1, 8],5478.485910349344,23.28296222626159
[1, 9],5487.390699674571,22.617893182069565
[1, 10],5497.287457423083,23.78985997095242
[1, 11],5509.852340828228,26.41106821854828
[1, 12],5527.962780841596,32.683111161715715
[1, 13],5555.491609161582,45.58274855471518
[1, 14],5579.536222989766,51.852862247736994
[1, 15],5605.961327096818,59.21081694913664
[1, 16],5626.586316959723,60.71174873938162
[1, 17],5647.339590454602,60.98284369071098
[1, 18],5664.395375119374,57.49359946479399
[1, 19],5677.726654122291,55.387260357462765
[1, 20],5683.108546500015,52.01785158771327
[1, 21],5682.3515263546315,46.963853658973676
[2, 0],5275.181496099557,-15.585138446328529
[2, 1],5293.236800003937,-13.365208915630319
[2, 2],5308.891674180679,-13.830837683327445
[2, 3],5327.363008680576,-15.350761496516498
[2, 4],5357.267367823271,-8.657978204782012
[2, 5],5387.447089055824,-1.2393864881041736
[2, 6],5414.025300693067,4.4460818544721405
[2, 7],5435.655888398786,7.30028090063297
[2, 8],5446.732815302092,3.8098894232171006
[2, 9],5457.853051001279,5.126515970843684
[2, 10],5466.556706659936,5.931610214619468
[2, 11],5475.856773485123,6.831120103801368
[2, 12],5491.027107914346,12.258767183279815
[2, 13],5515.498917690927,24.623415774389287
[2, 14],5538.524800591592,32.15816449795875
[2, 15],5562.218877421159,37.077210323609506
[2, 16],5588.340902612503,40.80226569079514
[2, 17],5617.949666150458,44.07053422558511
[2, 18],5642.0073991490035,42.824832708532085
[2, 19],5663.244870290095,46.18402001283448
[2, 20],5675.748381203423,48.5214543042448
[2, 21],5679.510907385442,47.02666730576857
[3, 0],5255.069332668756,-23.68252866362309
[3, 1],5268.3424614849655,-22.40564485675077
[3, 2],5278.966980798132,-25.718927443564098
[3, 3],5297.325231382619,-26.89167910733704
[3, 4],5330.194074179923,-18.157990228004564
[3, 5],5360.552915046768,-11.165457009260535
[3, 6],5385.699794673595,-6.19470874952367
[3, 7],5405.097000698915,-4.717412687525211
[3, 8],5414.153491267811,-9.855906542840785
[3, 9],5423.086132666833,-10.1448325661122
[3, 10],5428.92741849265,-11.110931429245284
[3, 11],5434.3127728858735,-12.611480506127918
[3, 12],5446.36378172613,-8.56214211160841
[3, 13],5467.693101484099,2.484994482406364
[3, 14],5487.108722195328,7.939980429137904
[3, 15],5509.415316689623,11.375808086047073
[3, 16],5537.733648620132,14.203725318264333
[3, 17],5567.912399161417,13.033098259594226
[3, 18],5606.07508463375,21.476717499820552
[3, 19],5639.198051084192,33.27487522661522
[3, 20],5662.658953951193,43.91047078929387
[3, 21],5674.548189012622,48.7822663629986
[4, 0],5236.556714514616,-28.910770133381448
[4, 1],5244.9954486968845,-28.971462951518333
[4, 2],5255.54131820099,-30.82313853898995
[4, 3],5279.593511477892,-27.030562544012355
[4, 4],5313.436242193419,-19.620228129479074
[4, 5],5345.822053382255,-11.921893154656573
[4, 6],5369.404590793114,-7.511936438302655
[4, 7],5387.199528786776,-5.764410138059247
[4, 8],5393.263070796623,-12.567906060024143
[4, 9],5396.08255269944,-18.01715759153285
[4, 10],5396.594458153063,-23.208665183583435
[4, 11],5401.06111758298,-24.427387500503755
[4, 12],5410.672959845554,-21.719917286482996
[4, 13],5428.807774182057,-12.637453541407012
[4, 14],5445.7248347320965,-8.297506282243376
[4, 15],5460.365814108757,-11.962314205046823
[4, 16],5489.958178613785,-8.87583207343232
[4, 17],5518.128050194483,-13.706505968556485
[4, 18],5563.430199758014,-0.07115763434194378
[4, 19],5606.268433982584,18.71785155215275
[4, 20],5645.994269836793,42.89226140469691
[4, 21],5666.834438591657,54.83916808966387
[5, 0],5217.802633481994,-31.111078635826743
[5, 1],5227.679623435993,-29.20405012725405
[5, 2],5237.606819695969,-31.42943401483808
[5, 3],5267.807338532162,-23.100210106274062
[5, 4],5306.5682041833425,-14.610617894552888
[5, 5],5343.1513115174685,-6.086248841569613
[5, 6],5366.880087131875,-2.8237079487798837
[5, 7],5380.8399267742625,-5.10485967209388
[5, 8],5385.75135299398,-12.741100466686476
[5, 9],5388.588259711857,-17.429220553187406
[5, 10],5387.7708380198565,-22.85200987889857
[5, 11],5388.326607394464,-26.7641494310883
[5, 12],5396.772785825089,-23.905037452033866
[5, 13],5409.08004733525,-18.81570417731109
[5, 14],5419.039613200358,-19.078297789610588
[5, 15],5430.046768172052,-24.237074774126995
[5, 16],5451.083406421572,-28.078121953438313
[5, 17],5478.424742629514,-31.888009948832405
[5, 18],5525.048786074774,-15.481722684869055
[5, 19],5584.432090786577,19.836739940717052
[5, 20],5625.585737839319,44.54090534522584
[5, 21],5652.013618716088,61.25191472415736
[6, 0],5204.75861065954,-29.73977919522258
[6, 1],5216.197111996775,-28.162924168663267
[6, 2],5231.112283923509,-26.36487374362605
[6, 3],5263.984741646393,-17.274700187109374
[6, 4],5306.691685847175,-8.606504202272845
[6, 5],5345.306978461625,-2.1325674734716813
[6, 6],5371.638922298855,0.31814035640854854
[6, 7],5387.622590077318,-2.3929083972379885
[6, 8],5392.449280338441,-10.832717806638357
[6, 9],5397.817133944864,-12.68876125198949
[6, 10],5398.6413683297615,-15.822741274223517
[6, 11],5399.378754353579,-18.385394807636658
[6, 12],5403.977392782504,-17.360868874884545
[6, 13],5410.830850893398,-14.887627528708435
[6, 14],5416.985116874186,-15.586745936735497
[6, 15],5425.089186771371,-20.169073952997678
[6, 16],5422.781003798343,-44.22676323730684
[6, 17],5456.0863777282475,-39.305823330402745
[6, 18],5508.726977419812,-14.471872298820927
[6, 19],5561.509765723848,15.907904951654018
[6, 20],5610.423934872011,49.20374060501945
[6, 21],5644.052457786419,73.28537529828554
[7, 0],5203.521041210855,-23.604600988798666
[7, 1],5210.8127291226565,-28.41460573148197
[7, 2],5233.3058715022735,-22.199121088297034
